# Geofeed Intercatatumbo SAS
# prefijo,código_país,código_región,ciudad,postal
45.65.136.0/25,CO,CO-NSA,Cucuta,540005
45.65.136.128/29,CO,CO-NSA,Cucuta,540002
45.65.136.136/30,CO,CO-NSA,Cucuta,541030
45.65.137.0/29,CO,CO-NSA,La Gabarra,548017
45.65.137.8/29,CO,CO-NSA,La Gabarra,548017
45.65.137.32/27,CO,CO-NSA,Tibu,548018
45.65.137.192/28,VE,VE-V,Casigua,5068
45.65.137.248/29,CO,CO-NSA,Tibu,548018
45.65.138.0/28,CO,CO-NSA,Campo Dos,548018
45.65.138.16/28,CO,CO-NSA,La Gabarra,548017
45.65.138.32/28,CO,CO-NSA,Campo Dos,548018
45.65.139.0/28,CO,CO-NSA,Puerto LLeras,540018
45.65.139.16/28,CO,CO-NSA,Puerto LLeras,540018
45.65.139.200/30,VE,VE-S,La Grita,5022
45.65.139.204/30,VE,VE-L,El Vigia,5145
45.65.139.228/30,VE,VE-L,El Vigia,5145
45.65.139.232/30,VE,VE-L,El Vigia,5145
45.65.139.236/30,VE,VE-L,El Vigia,5145
45.65.139.244/30,VE,VE-L,El Vigia,5145
45.65.139.248/30,VE,VE-S,La Grita,5022
2803:a5c0:4000::/36,CO,CO-NSA,Cucuta,540005
2803:a5c0:6000::/36,CO,CO-NSA,Tibu,548018
2803:a5c0:6e00::/40,VE,VE-V,Casigua,5068
2803:a5c0:8000::/36,CO,CO-NSA,Puerto Lleras,540018
